folder_name	date	group	participant	device_serial	device_id
26-03-11_130950_Untitled	3/11/2026 12:00:00 AM	grp-06	P1	TG03B-080201022801	Tobii Glasses 3
26-03-11_131002_Untitled	3/11/2026 12:00:00 AM	grp-06	P2	TG03B-080201129491	Tobii Glasses 3
26-03-11_131016_Untitled	3/11/2026 12:00:00 AM	grp-06	P4	TG03B-080201139301	Tobii Glasses 3
20260312T121359Z	3/12/2026 12:00:00 AM	grp-07	P1	TG03B-080201022801	Tobii Glasses 3
26-03-12_131430_2	3/12/2026 12:00:00 AM	grp-07	P2	TG03B-080201129491	Tobii Glasses 3
26-03-12_131753_Untitled	3/12/2026 12:00:00 AM	grp-07	P2	TG03B-080201129491	Tobii Glasses 3
26-03-12_131413_Untitled	3/12/2026 12:00:00 AM	grp-07	P3	TG03B-080201020821	Tobii Glasses 3
26-03-12_131443_4	3/12/2026 12:00:00 AM	grp-07	P4	TG03B-080201139301	Tobii Glasses 3
26-03-13_100942_Untitled	3/13/2026 12:00:00 AM	grp-08	P1	TG03B-080201022801	Tobii Glasses 3
26-03-13_100934_Untitled	3/13/2026 12:00:00 AM	grp-08	P2	TG03B-080201129491	Tobii Glasses 3
26-03-13_100952_Untitled	3/13/2026 12:00:00 AM	grp-08	P3	TG03B-080201020821	Tobii Glasses 3
20260313T090918Z	3/13/2026 12:00:00 AM	grp-08	P4	TG03B-080201139301	Tobii Glasses 3
26-03-17_131353_Untitled	3/17/2026 12:00:00 AM	grp-09	P1	TG03B-080201022801	Tobii Glasses 3
26-03-17_131404_Untitled	3/17/2026 12:00:00 AM	grp-09	P2	TG03B-080201129491	Tobii Glasses 3
26-03-17_131333_Untitled	3/17/2026 12:00:00 AM	grp-09	P3	TG03B-080201020821	Tobii Glasses 3
26-03-17_133100_Untitled	3/17/2026 12:00:00 AM	grp-09	P3	TG03B-080201020821	Tobii Glasses 3
26-03-17_131414_Untitled	3/17/2026 12:00:00 AM	grp-09	P4	TG03B-080201139301	Tobii Glasses 3
26-03-17_151110_Untitled	3/17/2026 12:00:00 AM	grp-10	P1	TG03B-080201022801	Tobii Glasses 3
26-03-17_151054_Untitled	3/17/2026 12:00:00 AM	grp-10	P2	TG03B-080201129491	Tobii Glasses 3
26-03-17_154923_Untitled	3/17/2026 12:00:00 AM	grp-10	P2	TG03B-080201129491	Tobii Glasses 3
26-03-17_151124_Untitled	3/17/2026 12:00:00 AM	grp-10	P3	TG03B-080201020821	Tobii Glasses 3
26-03-17_151135_Untitled	3/17/2026 12:00:00 AM	grp-10	P4	TG03B-080201139301	Tobii Glasses 3
26-03-18_101829_Untitled	3/18/2026 12:00:00 AM	grp-11	P1	TG03B-080201022801	Tobii Glasses 3
20260318T091453Z	3/18/2026 12:00:00 AM	grp-11	P2	TG03B-080201129491	Tobii Glasses 3
26-03-18_101452_Untitled	3/18/2026 12:00:00 AM	grp-11	P2	TG03B-080201129491	Tobii Glasses 3
26-03-18_101844_Untitled	3/18/2026 12:00:00 AM	grp-11	P3	TG03B-080201020821	Tobii Glasses 3
26-03-18_101927_Untitled	3/18/2026 12:00:00 AM	grp-11	P4	TG03B-080201139301	Tobii Glasses 3
20260318T120928Z	3/18/2026 12:00:00 AM	grp-12	P1	TG03B-080201022801	Tobii Glasses 3
20260318T121038Z	3/18/2026 12:00:00 AM	grp-12	P2	TG03B-080201129491	Tobii Glasses 3
26-03-18_131037_Untitled	3/18/2026 12:00:00 AM	grp-12	P2	TG03B-080201129491	Tobii Glasses 3
20260318T120912Z	3/18/2026 12:00:00 AM	grp-12	P3	TG03B-080201020821	Tobii Glasses 3
26-03-18_131047_Untitled	3/18/2026 12:00:00 AM	grp-12	P4	TG03B-080201139301	Tobii Glasses 3
26-03-18_151155_Untitled	3/18/2026 12:00:00 AM	grp-13	P1	TG03B-080201022801	Tobii Glasses 3
20260318T141209Z	3/18/2026 12:00:00 AM	grp-13	P2	TG03B-080201129491	Tobii Glasses 3
26-03-18_151209_Untitled	3/18/2026 12:00:00 AM	grp-13	P2	TG03B-080201129491	Tobii Glasses 3
26-03-18_151141_Untitled	3/18/2026 12:00:00 AM	grp-13	P3	TG03B-080201020821	Tobii Glasses 3
26-03-18_151357_Untitled	3/18/2026 12:00:00 AM	grp-13	P4	TG03B-080201139301	Tobii Glasses 3
26-03-18_151241_Untitled	3/18/2026 12:00:00 AM	grp-13	P4	TG03B-080201139301	Tobii Glasses 3
26-03-19_100654_Untitled	3/19/2026 12:00:00 AM	grp-14	P1	TG03B-080201022801	Tobii Glasses 3
26-03-19_100711_Untitled	3/19/2026 12:00:00 AM	grp-14	P2	TG03B-080201129491	Tobii Glasses 3
20260319T090711Z	3/19/2026 12:00:00 AM	grp-14	P2	TG03B-080201129491	Tobii Glasses 3
26-03-19_100611_Untitled	3/19/2026 12:00:00 AM	grp-14	P3	TG03B-080201020821	Tobii Glasses 3
26-03-19_100724_Untitled	3/19/2026 12:00:00 AM	grp-14	P4	TG03B-080201139301	Tobii Glasses 3
26-03-19_130544_Untitled	3/19/2026 12:00:00 AM	grp-15	P1	TG03B-080201022801	Tobii Glasses 3
26-03-19_131504_Untitled	3/19/2026 12:00:00 AM	grp-15	P1	TG03B-080201022801	Tobii Glasses 3
20260319T121512Z	3/19/2026 12:00:00 AM	grp-15	P2	TG03B-080201129491	Tobii Glasses 3
20260319T120614Z	3/19/2026 12:00:00 AM	grp-15	P2	TG03B-080201129491	Tobii Glasses 3
26-03-19_131454_Untitled	3/19/2026 12:00:00 AM	grp-15	P3	TG03B-080201020821	Tobii Glasses 3
26-03-19_130525_Untitled	3/19/2026 12:00:00 AM	grp-15	P3	TG03B-080201020821	Tobii Glasses 3
26-03-19_130633_Untitled	3/19/2026 12:00:00 AM	grp-15	P4	TG03B-080201139301	Tobii Glasses 3
26-03-19_131518_Untitled	3/19/2026 12:00:00 AM	grp-15	P4	TG03B-080201139301	Tobii Glasses 3
20260320T090912Z	3/20/2026 12:00:00 AM	grp-16	P1	TG03B-080201022801	Tobii Glasses 3
20260320T090924Z	3/20/2026 12:00:00 AM	grp-16	P2	TG03B-080201129491	Tobii Glasses 3
20260320T090859Z	3/20/2026 12:00:00 AM	grp-16	P3	TG03B-080201020821	Tobii Glasses 3
20260320T090947Z	3/20/2026 12:00:00 AM	grp-16	P4	TG03B-080201139301	Tobii Glasses 3
